path,quant.025,quant.25,mean,quant.75,quant.975,prop_greater_0,Model
a,0.57,0.61,0.64,0.67,0.74,1,Size Only
b,0.21,0.29,0.33,0.37,0.45,1,Size Only
c,0.06,0.17,0.23,0.29,0.4,1,Size Only
d,0.18,0.31,0.37,0.43,0.54,1,Size Only
e,-0.03,0.1,0.16,0.22,0.34,0.95,Size Only
f,-0.26,-0.14,-0.07,-0.01,0.12,0.22,Size Only
g,-0.03,0.17,0.25,0.35,0.49,0.96,Size Only
h,0,0,0,0,0,0,Size Only
rgr_total,-0.02,0.11,0.16,0.23,0.32,0.96,Size Only
s_age,-0.01,0.06,0.1,0.14,0.22,0.96,Size Only
s_rgr,-0.02,0.12,0.19,0.26,0.4,0.96,Size Only
s_seedsize,-0.01,0.03,0.07,0.1,0.18,0.96,Size Only
s_size,-0.03,0.19,0.3,0.41,0.62,0.96,Size Only
a,0.57,0.61,0.64,0.67,0.75,1,RGR Only
b,0.21,0.29,0.33,0.37,0.45,1,RGR Only
c,0.07,0.18,0.23,0.29,0.41,1,RGR Only
d,0.18,0.31,0.37,0.43,0.53,1,RGR Only
e,-0.04,0.09,0.15,0.22,0.33,0.94,RGR Only
f,-0.27,-0.15,-0.08,-0.01,0.12,0.22,RGR Only
g,0,0,0,0,0,0,RGR Only
h,0.06,0.22,0.29,0.36,0.47,0.99,RGR Only
rgr_total,0.06,0.22,0.29,0.36,0.47,0.99,RGR Only
s_age,0,0,0,0,0,0,RGR Only
s_rgr,0.08,0.27,0.34,0.43,0.57,0.99,RGR Only
s_seedsize,0,0,0,0,0,0,RGR Only
s_size,0,0,0,0,0,0,RGR Only
a,0.57,0.61,0.65,0.67,0.75,1,Combined
b,0.21,0.29,0.33,0.37,0.44,1,Combined
c,0.07,0.17,0.23,0.29,0.41,1,Combined
d,0.19,0.31,0.37,0.43,0.53,1,Combined
e,-0.03,0.09,0.16,0.22,0.34,0.95,Combined
f,-0.26,-0.15,-0.08,-0.01,0.12,0.22,Combined
g,-0.34,-0.08,0.05,0.19,0.43,0.61,Combined
h,-0.09,0.15,0.25,0.36,0.55,0.93,Combined
rgr_total,0.05,0.22,0.28,0.36,0.47,0.99,Combined
s_age,-0.14,-0.03,0.02,0.07,0.17,0.61,Combined
s_rgr,0.06,0.26,0.34,0.42,0.56,0.99,Combined
s_seedsize,-0.11,-0.02,0.01,0.05,0.14,0.61,Combined
s_size,-0.42,-0.09,0.06,0.23,0.53,0.61,Combined
