Trait,Comparison,quant.025,quant.25,mean,quant.75,quant.975,prop_less_0
Survive,$F_2$-$F_1$,-0.09,-0.05,-0.03,0,0.06,0.79
Survive,$F_2$-LON,-0.06,0.01,0.07,0.12,0.25,0.22
Survive,$F_2$-CAL,-0.07,0,0.06,0.11,0.25,0.24
Survive,$F_1$-LON,-0.05,0.03,0.09,0.15,0.29,0.13
Survive,$F_1$-CAL,-0.06,0.03,0.09,0.15,0.28,0.14
Survive,LON-CAL,-0.24,-0.08,0,0.07,0.22,0.51
Day 4,$F_2$-$F_1$,-0.55,-0.44,-0.38,-0.33,-0.22,1
Day 4,$F_2$-LON,-0.3,-0.15,-0.08,-0.01,0.11,0.79
Day 4,$F_2$-CAL,-0.43,-0.35,-0.3,-0.26,-0.16,1
Day 4,$F_1$-LON,0.05,0.22,0.3,0.38,0.54,0.01
Day 4,$F_1$-CAL,-0.12,0.01,0.08,0.15,0.28,0.22
Day 4,LON-CAL,-0.44,-0.3,-0.22,-0.14,0.02,0.96
Day 17,$F_2$-$F_1$,-19.99,-16.92,-15.17,-13.5,-9.94,1
Day 17,$F_2$-LON,-13.3,-8.76,-6.74,-4.55,-0.92,0.99
Day 17,$F_2$-CAL,-19.23,-14.48,-12.49,-10.25,-6.91,1
Day 17,$F_1$-LON,0.62,5.9,8.43,11.06,15.51,0.02
Day 17,$F_1$-CAL,-5.34,0.2,2.69,5.33,9.83,0.23
Day 17,LON-CAL,-14.17,-8.53,-5.74,-2.88,2.41,0.91
RGR,$F_2$-$F_1$,-0.04,-0.04,-0.03,-0.03,-0.02,1
RGR,$F_2$-LON,-0.03,-0.03,-0.02,-0.02,-0.01,1
RGR,$F_2$-CAL,-0.04,-0.04,-0.03,-0.03,-0.02,1
RGR,$F_1$-LON,-0.01,0.01,0.01,0.02,0.03,0.08
RGR,$F_1$-CAL,-0.02,0,0,0.01,0.01,0.47
RGR,LON-CAL,-0.03,-0.02,-0.01,-0.01,0,0.94
Height,$F_2$-$F_1$,-1.07,-0.51,-0.21,0.09,0.67,0.68
Height,$F_2$-LON,-2.26,-0.7,-0.14,0.52,1.49,0.53
Height,$F_2$-CAL,-1.67,-0.97,-0.57,-0.18,0.62,0.84
Height,$F_1$-LON,-2.1,-0.54,0.06,0.74,1.79,0.44
Height,$F_1$-CAL,-1.6,-0.8,-0.36,0.06,0.93,0.72
Height,LON-CAL,-2.33,-1.17,-0.43,0.23,1.89,0.68
