line,quant.025,quant.25,mean,quant.75,quant.975,prop_less_0,Trait
CAL,41.11,44.11,46.26,48.17,52.89,0,Day 17
LON,35,38.41,40.51,42.45,46.78,0,Day 17
$F_1$,44.17,47.42,48.95,50.54,53.38,0,Day 17
$F_2$,31.92,33.12,33.77,34.43,35.66,0,Day 17
$\Delta/E(F_{2})$,-0.33,-0.29,-0.27,-0.25,-0.2,1,Day 17
CAL,1.88,1.98,2.01,2.06,2.13,0,Day 4
LON,1.61,1.73,1.8,1.86,2,0,Day 4
$F_1$,1.94,2.04,2.09,2.15,2.25,0,Day 4
$F_2$,1.66,1.69,1.71,1.73,1.77,0,Day 4
$\Delta/E(F_{2})$,-0.19,-0.16,-0.14,-0.13,-0.09,1,Day 4
CAL,12.17,12.9,13.25,13.63,14.22,0,Height
LON,11.27,12.17,12.82,13.37,14.91,0,Height
$F_1$,12.17,12.64,12.89,13.13,13.61,0,Height
$F_2$,12.21,12.51,12.68,12.84,13.16,0,Height
$\Delta/E(F_{2})$,-0.08,-0.04,-0.02,0,0.04,0.76,Height
CAL,0.28,0.29,0.29,0.29,0.3,0,RGR
LON,0.27,0.28,0.28,0.28,0.29,0,RGR
$F_1$,0.28,0.29,0.29,0.29,0.3,0,RGR
$F_2$,0.25,0.26,0.26,0.26,0.26,0,RGR
$\Delta/E(F_{2})$,-0.13,-0.11,-0.1,-0.09,-0.08,1,RGR
CAL,0.66,0.79,0.84,0.9,0.97,0,Survive
LON,0.65,0.79,0.84,0.9,0.96,0,Survive
$F_1$,0.86,0.91,0.93,0.96,0.99,0,Survive
$F_2$,0.87,0.9,0.91,0.92,0.94,0,Survive
$\Delta/E(F_{2})$,-0.05,-0.01,0.02,0.05,0.12,0.32,Survive
