id,seed_size,germ_day,day_3,day_4,day_5,day_7,day_10,day_14,day_17,death_day
1_1,0.31,4,,0.473,1.915,4.016,7.821,,,
1_2,0.308,4,,1.898,3.133,5.999,15.602,57.068,117.501,3
1_3,0.286,4,,1.157,2.574,5.083,12.519,41.987,82.41,3
1_4,0.345,,,,,,3.07,7.941,17.458,3
1_5,0.305,,,,,,,,,
1_6,0.282,4,,1.902,3.121,5.821,15.021,47.842,129.17,4
1_7,0.343,4,,0.867,1.546,2.988,7.201,30.718,76.033,4
1_8,0.264,4,,1.55,2.754,4.706,7.759,15.99,29.629,3
1_9,0.404,3,0.896,2.554,4.091,7.494,16.552,58.164,153.083,4
1_10,0.23,4,,1.53,2.603,5.166,13.593,46.028,98.458,4
1_11,0.314,4,,0.898,2.074,3.947,9.371,31.054,72.363,4
1_12,0.327,4,,1.344,2.633,4.201,7.968,22.386,55.157,4
1_13,0.289,4,,0.415,1.372,2.669,5.199,19.045,48.336,4
1_14,0.302,4,,1.319,2.502,4.746,10.758,33.244,75.656,4
1_15,0.257,4,,0.477,1.484,3.063,6.852,22.821,50.568,4
1_16,0.342,6,,,,4.349,7.916,24.152,55.247,4
1_17,0.335,4,,1.568,2.835,4.861,10.312,29.702,78.535,4
1_18,0.274,4,,1.646,2.809,5.023,10.65,32.314,77.616,3
1_19,0.272,5,,,2.497,4.438,9.444,23.495,47.275,4
1_20,0.272,4,,1.693,2.761,4.441,10.464,30.395,64.524,3
1_21,0.353,,,,,,,,,
1_22,0.309,4,,1.441,2.421,4.751,10.798,22.562,16.789,3
1_23,0.251,6,,,,1.983,4.481,13.586,32.871,3
1_24,0.329,5,,,1.294,2.228,4.337,3.262,,
1_25,0.327,,,,,,,,,
1_26,0.307,,,,,,,,,
1_27,0.308,3,0.735,2.263,3.35,6.199,15.682,52.825,94.825,3
1_28,0.285,4,,1.101,2.269,4.245,9.661,28.741,64.598,4
1_29,0.341,4,,1.78,3.296,6.254,13.246,37.277,82.715,4
1_30,0.281,6,,,,2.658,6.958,20.438,53.751,4
1_31,0.278,,,,,,,,,
1_32,0.262,4,,1.153,2.235,3.617,7.13,16.183,23.918,3
1_33,0.281,,,,,,,,18.744,
1_34,0.303,4,,1.302,2.715,4.844,11.788,36.499,94.744,4
1_35,0.265,3,0.568,1.7,2.658,4.946,13.163,45.054,109.882,4
1_36,0.339,,,,,,,,,
