id,seed_size,germ_day,death_day,day,seedling_area,age
11,0.308,4,3,5,3.133,1
11,0.308,4,3,7,5.999,3
11,0.308,4,3,10,15.602,6
11,0.308,4,3,14,57.068,10
11,0.308,4,3,17,117.501,13
17,0.286,4,3,5,2.574,1
17,0.286,4,3,7,5.083,3
17,0.286,4,3,10,12.519,6
17,0.286,4,3,14,41.987,10
17,0.286,4,3,17,82.41,13
36,0.282,4,4,5,3.121,1
36,0.282,4,4,7,5.821,3
36,0.282,4,4,10,15.021,6
36,0.282,4,4,14,47.842,10
36,0.282,4,4,17,129.17,13
42,0.343,4,4,5,1.546,1
42,0.343,4,4,7,2.988,3
42,0.343,4,4,10,7.201,6
42,0.343,4,4,14,30.718,10
42,0.343,4,4,17,76.033,13
51,0.264,4,3,5,2.754,1
51,0.264,4,3,7,4.706,3
51,0.264,4,3,10,7.759,6
51,0.264,4,3,14,15.99,10
51,0.264,4,3,17,29.629,13
53,0.404,3,4,4,2.554,1
53,0.404,3,4,5,4.091,2
53,0.404,3,4,7,7.494,4
53,0.404,3,4,10,16.552,7
53,0.404,3,4,14,58.164,11
53,0.404,3,4,17,153.083,14
1,0.23,4,4,5,2.603,1
1,0.23,4,4,7,5.166,3
1,0.23,4,4,10,13.593,6
1,0.23,4,4,14,46.028,10
1,0.23,4,4,17,98.458,13
2,0.314,4,4,5,2.074,1
2,0.314,4,4,7,3.947,3
2,0.314,4,4,10,9.371,6
2,0.314,4,4,14,31.054,10
2,0.314,4,4,17,72.363,13
3,0.327,4,4,5,2.633,1
3,0.327,4,4,7,4.201,3
3,0.327,4,4,10,7.968,6
3,0.327,4,4,14,22.386,10
3,0.327,4,4,17,55.157,13
4,0.289,4,4,5,1.372,1
4,0.289,4,4,7,2.669,3
4,0.289,4,4,10,5.199,6
4,0.289,4,4,14,19.045,10
4,0.289,4,4,17,48.336,13
5,0.302,4,4,5,2.502,1
5,0.302,4,4,7,4.746,3
5,0.302,4,4,10,10.758,6
5,0.302,4,4,14,33.244,10
5,0.302,4,4,17,75.656,13
6,0.257,4,4,5,1.484,1
6,0.257,4,4,7,3.063,3
6,0.257,4,4,10,6.852,6
6,0.257,4,4,14,22.821,10
6,0.257,4,4,17,50.568,13
7,0.342,6,4,7,4.349,1
7,0.342,6,4,10,7.916,4
7,0.342,6,4,14,24.152,8
7,0.342,6,4,17,55.247,11
8,0.335,4,4,5,2.835,1
8,0.335,4,4,7,4.861,3
8,0.335,4,4,10,10.312,6
8,0.335,4,4,14,29.702,10
8,0.335,4,4,17,78.535,13
9,0.274,4,3,5,2.809,1
9,0.274,4,3,7,5.023,3
9,0.274,4,3,10,10.65,6
9,0.274,4,3,14,32.314,10
9,0.274,4,3,17,77.616,13
10,0.272,5,4,7,4.438,2
10,0.272,5,4,10,9.444,5
10,0.272,5,4,14,23.495,9
10,0.272,5,4,17,47.275,12
12,0.272,4,3,5,2.761,1
12,0.272,4,3,7,4.441,3
12,0.272,4,3,10,10.464,6
12,0.272,4,3,14,30.395,10
12,0.272,4,3,17,64.524,13
13,0.251,6,3,7,1.983,1
13,0.251,6,3,10,4.481,4
13,0.251,6,3,14,13.586,8
13,0.251,6,3,17,32.871,11
14,0.308,3,3,4,2.263,1
14,0.308,3,3,5,3.35,2
14,0.308,3,3,7,6.199,4
14,0.308,3,3,10,15.682,7
14,0.308,3,3,14,52.825,11
14,0.308,3,3,17,94.825,14
15,0.285,4,4,5,2.269,1
15,0.285,4,4,7,4.245,3
15,0.285,4,4,10,9.661,6
15,0.285,4,4,14,28.741,10
15,0.285,4,4,17,64.598,13
16,0.341,4,4,5,3.296,1
16,0.341,4,4,7,6.254,3
16,0.341,4,4,10,13.246,6
16,0.341,4,4,14,37.277,10
16,0.341,4,4,17,82.715,13
18,0.281,6,4,7,2.658,1
18,0.281,6,4,10,6.958,4
18,0.281,6,4,14,20.438,8
18,0.281,6,4,17,53.751,11
19,0.262,4,3,5,2.235,1
19,0.262,4,3,7,3.617,3
19,0.262,4,3,10,7.13,6
