line,day_4,day_17,height,survive
F2,1.686,58.6,12.5,1
F2,3.77,77.5,10.5,1
F2,1.723,30.5,13,1
F2,2.646,34.3,13,1
F2,2.589,40.8,11,1
F2,1.787,46,12,1
F2,1.785,33.6,15,1
F2,1.427,41.8,9.5,1
F2,2.878,33.6,10.5,1
F2,3.057,42.7,6,1
F2,2.947,27.4,9.5,1
F2,1.482,29.5,14.5,1
F2,1.389,16.8,16.5,1
F2,3.27,51,17,1
F2,1.691,53.5,14,1
F2,2.199,63.4,NA,0
F2,1.771,57.5,14,1
F2,1.892,33.3,12.5,1
F2,0.978,17,8,1
F2,1.723,47.5,9.5,1
F2,0.838,23.3,9,1
F2,2.499,41.4,9,1
F2,3.749,43.8,16,1
F2,2.999,38.7,12,1
F2,0.967,39.8,11,1
F2,2.246,52.3,15,1
F2,2.269,53.9,18.5,1
F2,1.095,26.1,12.5,1
F2,2.494,18.4,14,1
F2,1.315,22.3,NA,0
F2,1.481,11.2,12,1
F2,1.735,13.1,10,1
F2,1.536,13.8,10.5,1
F2,2.438,15.2,12.5,1
F2,0.65,19.5,9,1
F2,2.343,20.7,10,1
F2,2.915,37.2,13.5,1
F2,1.881,30.7,18,1
F2,1.261,41,18.5,1
F2,1.781,42.4,13.5,1
F2,1.623,39.3,33,1
F2,1.737,39.9,10.5,1
F2,1.834,40.9,6.5,1
F2,3.385,55.9,14,1
F2,2.225,24,8,1
F2,2.596,34.9,9,1
F2,2.528,19.8,14.5,1
F2,2.057,18.5,16,1
F2,1.724,43.2,10.5,1
F2,1.297,30.9,13.5,1
F2,1.405,31.8,11.5,1
F2,1.672,19.8,11.1,1
F2,1.527,22.6,15,1
F2,1.17,34.5,14.5,1
F2,2.246,34.9,16,1
F2,2.227,49.2,10.5,1
F2,1.657,26.7,11.5,1
F2,2.051,23.4,11,1
F2,1.654,43.9,4,1
F2,2.103,31.3,9,1
F2,1.161,5.8,11.5,1
F2,1.742,14.9,13,1
F2,1.516,24.2,12,1
F2,1.696,57.6,13,1
F2,1.616,18.2,13,1
F2,1.415,35.7,16,1
F2,1.022,32.8,15.5,1
F2,1.585,56.9,12.5,1
F2,1.031,38.4,NA,0
F2,1.221,57.1,12.5,1
F2,0.976,22.5,21.5,1
F2,1.406,14.2,20,1
F2,1.681,22.1,10,1
F2,1.377,18.6,NA,0
F2,1.857,40.9,13.5,1
F2,2.006,37,13.7,1
F2,1.506,29.1,17.5,1
F2,0.861,23.8,12,1
F2,1.689,33,6,1
F2,1.852,49.5,8,1
F2,1.28,55.3,12.5,1
F2,1.228,11.1,6,1
F2,1.153,10.3,6.5,1
F2,0.793,26.3,8.5,1
F2,0.764,14.7,15.5,1
F2,1.567,27.9,9,1
F2,2.295,72.2,9.5,1
F2,1.118,53.7,9,1
F2,1.031,57.1,9,1
F2,1.137,23.1,10,1
F2,1.322,49.9,10.5,1
F2,1.738,36,NA,0
F2,1.992,18,9,1
F2,1.097,20.7,6.5,1
F2,1.404,46,11,1
F2,0.531,21.6,8.5,1
F2,1.258,10.9,10.5,1
F2,1.615,18.8,13.5,1
F2,1.354,48,11.5,1
F2,1.677,46.6,11.5,1
F2,1.336,41.1,14.5,1
F2,1.152,60.7,8.5,1
F2,1.156,38.9,NA,0
F2,1.555,52.2,14.5,1
F2,1.769,49,16,1
F2,0.824,42.1,13,1
F2,1.748,10.8,16,1
F2,1.228,8.5,10.5,1
F2,0.728,13.1,17,1
F2,1.177,7.1,9.5,1
F2,1.722,29.1,11.5,1
F2,0.869,33.1,9,1
F2,1.112,13.3,11.5,1
F2,1.509,23.7,8.5,1
F2,1.719,55.3,7.5,1
F2,1.565,12.8,11.5,1
F2,1.792,26,11,1
F2,1.665,32.6,10.5,1
F2,2.074,46.3,9,1
F2,1.225,10.9,7,1
F2,1.282,14.1,9,1
F2,1.851,49.4,8.5,1
F2,1.878,7.4,12,1
F2,1.469,18.9,11.5,1
F2,1.239,15.6,11.5,1
F2,0.864,10.2,15,1
F2,1.561,16,10,1
F2,1.518,26.2,12.5,1
F2,2.002,47.4,11,1
F2,1.618,15.7,14.5,1
F2,1.644,47.4,7,1
F2,2.427,37.2,10.9,1
F2,1.149,36,11.7,1
F2,1.203,43.3,12.2,1
F2,1.447,62.6,9.2,1
F2,1.994,23.5,9.7,1
F2,2.023,22.6,8.9,1
F2,1.099,58.9,19.4,1
F2,2.221,20,18,1
F2,1.22,22.5,14.5,1
F2,1.818,56.1,10.5,1
F2,1.789,25,9.5,1
F2,1.462,13.1,7,1
F2,1.566,26,12,1
F2,1.174,14.5,9.5,1
F2,1.854,109.3,11.5,1
F2,1.625,75.8,8.8,1
F2,1.312,29.8,9.6,1
F2,2.893,98.6,9.3,1
F2,1.849,89.7,NA,0
F2,2.676,92.9,9,1
F2,1.678,16.8,NA,0
F2,1.285,9.2,NA,0
F2,2.164,13.5,NA,0
F2,1.556,38.2,13,1
F2,1.428,68.7,17.5,1
F2,1.359,23.9,7,1
F2,1.496,61.8,12,1
F2,2.111,44.1,6.5,1
F2,1.765,38.5,11,1
F2,2.993,52.8,10,1
F2,1.321,42.5,13.5,1
F2,1.694,35.5,12.5,1
F2,1.087,28.4,7.5,1
F2,2.105,38.2,6,1
F2,1.209,49,7.5,1
F2,2.077,19.3,3,1
F2,1.647,25.4,12.5,1
F2,1.866,12,11,1
F2,2.565,28.2,9.5,1
F2,1.738,45.1,11.5,1
F2,1.078,10.9,NA,0
F2,1.532,56.8,13,1
F2,1.7,27.4,13,1
